air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,37,Switzerland,Andrea,Andrea Salvisberg,11315,Salvisberg,SUI,1989,00:56:03,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",22,2021-07-26,501764,Elite Men,06:30:00,1035245,00:32:10,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,46,00:18:02,00:00:40,00:00:30,01:47:25,,,
,36,Portugal,Joao,Joao Silva,10539,Silva,POR,1989,00:56:30,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",23,2021-07-26,501764,Elite Men,06:30:00,1035246,00:31:53,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,25,00:17:55,00:00:41,00:00:31,01:47:30,,,
,28,Australia,Matthew,Matthew Hauser,80795,Hauser,AUS,1998,00:56:18,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",24,2021-07-26,501764,Elite Men,06:30:00,1035247,00:31:59,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,11,00:18:07,00:00:42,00:00:29,01:47:35,,,
,43,Spain,Javier,Javier Gomez Noya,5695,Gomez Noya,ESP,1983,00:56:05,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",25,2021-07-26,501764,Elite Men,06:30:00,1035248,00:32:08,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,21,00:18:22,00:00:38,00:00:33,01:47:46,,,
,36,Australia,Aaron,Aaron Royle,10141,Royle,AUS,1990,00:56:14,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",26,2021-07-26,501764,Elite Men,06:30:00,1035249,00:32:21,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,12,00:18:09,00:00:41,00:00:32,01:47:57,,,
,38,Portugal,Joao,Joao Pereira,10536,Pereira,POR,1987,00:56:31,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",27,2021-07-26,501764,Elite Men,06:30:00,1035250,00:32:27,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,24,00:17:56,00:00:38,00:00:31,01:48:03,,,
,29,Brazil,Manoel,Manoel Messias,69143,Messias,BRA,1996,00:57:40,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",28,2021-07-26,501764,Elite Men,06:30:00,1035251,00:30:43,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,34,00:18:37,00:00:38,00:00:33,01:48:11,,,
,36,Hungary,Tamás,Tamás Tóth,11408,Tóth,HUN,1989,00:56:20,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",29,2021-07-26,501764,Elite Men,06:30:00,1035252,00:32:39,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,19,00:18:07,00:00:40,00:00:33,01:48:19,,,
,27,Chile,Diego,Diego Moya,56027,Moya,CHI,1998,00:56:34,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",30,2021-07-26,501764,Elite Men,06:30:00,1035253,00:32:48,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,39,00:17:50,00:00:42,00:00:35,01:48:29,,,
,39,Mexico,Crisanto,Crisanto Grajales Valencia,7503,Grajales Valencia,MEX,1987,00:57:52,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",31,2021-07-26,501764,Elite Men,06:30:00,1035254,00:31:06,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,40,00:18:23,00:00:41,00:00:34,01:48:36,,,
