air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,27,Germany,Nina,Nina Eim,79066,Eim,GER,1998,01:03:04,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,22,2021-08-21,353165,Elite Women,10:50:00,1017346,00:35:24,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,29,00:20:02,00:01:12,00:00:25,02:00:06,,,
,30,Germany,Anabel,Anabel Knoll,84871,Knoll,GER,1996,01:02:36,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,23,2021-08-21,353165,Elite Women,10:50:00,1017347,00:36:49,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,20,00:19:12,00:01:10,00:00:24,02:00:10,,,
,36,South Africa,Simone,Simone Ackermann,21841,Ackermann,RSA,1990,01:02:44,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,24,2021-08-21,353165,Elite Women,10:50:00,1017348,00:36:50,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,22,00:19:06,00:01:10,00:00:25,02:00:12,,,
,35,Mexico,Cecilia,Cecilia Perez,25176,Perez,MEX,1991,01:03:46,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,25,2021-08-21,353165,Elite Women,10:50:00,1017349,00:35:28,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,33,00:19:26,00:01:10,00:00:28,02:00:16,,,
,32,Mexico,Lizeth,Lizeth Rueda Santos,73426,Rueda Santos,MEX,1994,01:02:33,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,26,2021-08-21,353165,Elite Women,10:50:00,1017350,00:37:02,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,31,00:19:03,00:01:23,00:00:31,02:00:30,,,
,30,New Zealand,Nicole,Nicole Van Der Kaay,64750,Van Der Kaay,NZL,1996,01:03:35,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,27,2021-08-21,353165,Elite Women,10:50:00,1017351,00:36:06,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,18,00:19:36,00:01:09,00:00:27,02:00:51,,,
,30,Australia,Jaz,Jaz Hedgeland,54913,Hedgeland,AUS,1995,01:03:35,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,28,2021-08-21,353165,Elite Women,10:50:00,1017352,00:36:31,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,32,00:19:40,00:01:06,00:00:27,02:01:17,,,
,34,Australia,Emma,Emma Jackson,15747,Jackson,AUS,1991,01:02:34,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,29,2021-08-21,353165,Elite Women,10:50:00,1017353,00:38:28,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,26,00:19:08,00:01:15,00:00:27,02:01:49,,,
,37,Mexico,Michelle,Michelle Flipo,22340,Flipo,MEX,1988,01:03:20,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,30,2021-08-21,353165,Elite Women,10:50:00,1017354,00:37:10,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,28,00:19:39,00:01:20,00:00:30,02:01:57,,,
,30,Czech Republic,Tereza,Tereza Zimovjanova,79830,Zimovjanova,CZE,1995,01:03:06,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,31,2021-08-21,353165,Elite Women,10:50:00,1017355,00:37:19,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,23,00:20:06,00:01:08,00:00:28,02:02:04,,,
,30,Brazil,Vittoria,Vittoria Lopes,81882,Lopes,BRA,1996,01:01:29,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,32,2021-08-21,353165,Elite Women,10:50:00,1017356,00:40:36,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,21,00:18:43,00:01:13,00:00:27,02:02:27,,,
,25,Japan,Sarika,Sarika Nakayama,115034,Nakayama,JPN,2000,01:03:10,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,33,2021-08-21,353165,Elite Women,10:50:00,1017357,00:38:11,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,34,00:19:56,00:01:15,00:00:28,02:02:58,,,
,32,Japan,Hiraku,Hiraku Fukuoka,84982,Fukuoka,JPN,1994,00:00:00,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,LAP,2021-08-21,353165,Elite Women,10:50:00,1017358,00:00:00,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,35,00:20:36,00:01:14,00:00:00,LAP,,,
,42,Japan,Ai,Ai Ueda,5576,Ueda,JPN,1983,00:00:00,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,LAP,2021-08-21,353165,Elite Women,10:50:00,1017359,00:00:00,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,37,00:21:12,00:01:08,00:00:00,LAP,,,
,30,Japan,Niina,Niina Kishimoto,95439,Kishimoto,JPN,1995,00:00:00,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,LAP,2021-08-21,353165,Elite Women,10:50:00,1017360,00:00:00,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,27,00:20:50,00:01:16,00:00:00,LAP,,,
,42,Japan,Juri,Juri Ide,12785,Ide,JPN,1983,00:00:00,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,LAP,2021-08-21,353165,Elite Women,10:50:00,1017361,00:00:00,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,39,00:19:43,00:01:11,00:00:00,LAP,,,
,35,Australia,Charlotte,Charlotte McShane,10077,McShane,AUS,1990,00:00:00,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,DNF,2021-08-21,353165,Elite Women,10:50:00,1017362,00:00:00,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,36,00:20:50,00:01:15,00:00:00,DNF,,,
