air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
,32,Japan,Kenji,Kenji Nener,39264,Nener,JPN,1993,00:55:03,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",26,2025-10-19,674811,Elite Men,17:00:00,1218599,00:31:55,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,43,00:18:16,1500,2,00:00:46,00:00:23,01:46:20,,,
,29,Hungary,Márk,Márk Dévay,56153,Dévay,HUN,1996,00:55:10,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",27,2025-10-19,674811,Elite Men,17:00:00,1218600,00:32:04,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,22,00:18:03,1500,2,00:00:52,00:00:24,01:46:30,,,
,27,Switzerland,Simon,Simon Westermann,98098,Westermann,SUI,1998,00:55:03,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",28,2025-10-19,674811,Elite Men,17:00:00,1218601,00:32:22,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,39,00:18:15,1500,2,00:00:45,00:00:22,01:46:45,,,
,28,United States,Chase,Chase McQueen,96667,McQueen,USA,1998,00:54:29,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",29,2025-10-19,674811,Elite Men,17:00:00,1218602,00:33:52,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,24,00:17:52,1500,2,00:00:45,00:00:23,01:47:19,,,
,24,United States,John,John Reed,164894,Reed,USA,2001,00:57:47,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",30,2025-10-19,674811,Elite Men,17:00:00,1218603,00:30:02,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,14,00:18:20,1500,2,00:00:47,00:00:25,01:47:19,,,
,30,Spain,Roberto,Roberto Sanchez Mantecon,63429,Sanchez Mantecon,ESP,1996,00:56:08,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",31,2025-10-19,674811,Elite Men,17:00:00,1218604,00:30:29,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,12,00:19:51,1500,2,00:00:51,00:00:22,01:47:39,,,
,27,Poland,Maciej,Maciej Bruzdziak,123682,Bruzdziak,POL,1998,00:54:59,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",32,2025-10-19,674811,Elite Men,17:00:00,1218605,00:33:24,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,49,00:18:13,1500,2,00:00:48,00:00:23,01:47:45,,,
,29,Australia,Brandon,Brandon Copeland,92397,Copeland,AUS,1996,00:57:35,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",33,2025-10-19,674811,Elite Men,17:00:00,1218606,00:30:36,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,28,00:18:30,1500,2,00:00:45,00:00:27,01:47:53,,,
,27,Great Britain,Max,Max Stapley,104983,Stapley,GBR,1999,00:55:11,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",34,2025-10-19,674811,Elite Men,17:00:00,1218607,00:33:36,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,18,00:18:06,1500,2,00:00:46,00:00:24,01:48:01,,,
,28,Australia,Callum,Callum McClusky,92430,McClusky,AUS,1998,00:56:41,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",35,2025-10-19,674811,Elite Men,17:00:00,1218608,00:30:53,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,32,00:19:27,1500,2,00:00:44,00:00:22,01:48:05,,,
,30,Japan,Takumi,Takumi Hojo,98547,Hojo,JPN,1996,00:57:05,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",36,2025-10-19,674811,Elite Men,17:00:00,1218609,00:31:01,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,27,00:18:51,1500,2,00:00:54,00:00:23,01:48:11,,,
,24,Netherlands,Ian,Ian Pennekamp,123461,Pennekamp,NED,2001,00:57:25,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",37,2025-10-19,674811,Elite Men,17:00:00,1218610,00:31:07,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,34,00:18:36,1500,2,00:00:48,00:00:21,01:48:15,,,
,28,Japan,Aoba,Aoba Yasumatsu,110784,Yasumatsu,JPN,1997,00:56:37,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",38,2025-10-19,674811,Elite Men,17:00:00,1218611,00:31:02,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,37,00:19:28,1500,2,00:00:48,00:00:23,01:48:17,,,
,30,Japan,Ren,Ren Sato,90031,Sato,JPN,1995,00:57:09,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",39,2025-10-19,674811,Elite Men,17:00:00,1218612,00:31:26,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,42,00:18:56,1500,2,00:00:47,00:00:24,01:48:39,,,
,27,United States,Darr,Darr Smith,80663,Smith,USA,1998,00:57:40,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",40,2025-10-19,674811,Elite Men,17:00:00,1218613,00:31:33,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,33,00:18:23,1500,2,00:00:48,00:00:26,01:48:47,,,
